name,slug,segment,subsegment,address_line,city,province,postal_code,lat,lng,phone,website,hours_summary,accepting_new,wait_estimate,services,languages,accessibility,parking,transit_notes,source
City Centre Urgent and Primary Care Centre,city-centre-upcc,primary_care,upcc,1290 Hornby St,Vancouver,BC,V6Z 1W2,49.2772,-123.1252,604-707-1865,https://www.vch.ca/en/location/city-centre-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english","wheelchair","Paid street and lot parking","Near Burrard SkyTrain",vch_public_directory
Three Bridges Community Health Centre,three-bridges-chc,primary_care,walk_in,1292 Hornby St,Vancouver,BC,V6Z 1W2,49.2773,-123.1252,604-736-9844,https://www.vch.ca/en/location/three-bridges-community-health-centre,"Mon–Fri 8:30–4:30",,,"primary_care;sexual_health;youth_clinic","english","wheelchair","Paid street parking","Near Burrard SkyTrain",vch_public_directory
South Vancouver Urgent and Primary Care Centre,south-vancouver-upcc,primary_care,upcc,6405 Knight St,Vancouver,BC,V5P 2V9,,,604-708-5275,https://www.vch.ca/en/location/south-vancouver-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english;punjabi;cantonese;mandarin","wheelchair","Lot parking","Near 49th Ave / Knight bus",vch_public_directory
North Vancouver Urgent and Primary Care Centre,north-vancouver-upcc,primary_care,upcc,221 W Esplanade,North Vancouver,BC,V7M 3J3,49.3133,-123.0760,604-986-7222,https://www.vch.ca/en/location/north-vancouver-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english","wheelchair","Paid street parking","Near Lonsdale Quay SeaBus",vch_public_directory
REACH Community Health Centre,reach-chc,primary_care,walk_in,1145 Commercial Dr,Vancouver,BC,V5L 3X3,49.2722,-123.0707,604-254-1354,https://reachcentre.bc.ca/,"Mon–Fri walk-in clinic",,,"primary_care;walk_in","english;spanish;cantonese","wheelchair","Street parking","Commercial-Broadway SkyTrain",reach_chc_public_site
Mid-Main Community Health Centre,mid-main-chc,primary_care,primary_care,3998 Main St,Vancouver,BC,V5V 3P3,,,604-873-2231,https://www.midmain.org/,"Mon–Fri by appointment",,,"primary_care","english","wheelchair","Street parking","Near Main St / 25th Ave bus",midmain_public_site
Burnaby Urgent and Primary Care Centre,burnaby-upcc,primary_care,upcc,7355 Canada Way,Burnaby,BC,,,,604-918-7170,https://www.fraserhealth.ca/locations/burnaby-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english;cantonese;mandarin","wheelchair","Lot parking","Near Edmonds SkyTrain",fraser_health_public_directory
New Westminster Urgent and Primary Care Centre,new-westminster-upcc,primary_care,upcc,537 6th St,New Westminster,BC,,,,604-777-6700,https://www.fraserhealth.ca/locations/new-westminster-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english","wheelchair","Paid lot parking","Near 6th St SkyTrain",fraser_health_public_directory
Tri-Cities Urgent and Primary Care Centre,tri-cities-upcc,primary_care,upcc,205-1100 Lansdowne Dr,Coquitlam,BC,,,,604-777-7900,https://www.fraserhealth.ca/locations/tri-cities-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english;korean","wheelchair","Lot parking","Near Lougheed Town Centre",fraser_health_public_directory
Surrey-Newton Urgent and Primary Care Centre,surrey-newton-upcc,primary_care,upcc,7110 120 St,Surrey,BC,,,,604-587-4500,https://www.fraserhealth.ca/locations/surrey-newton-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english;punjabi","wheelchair","Lot parking","Near Newton Exchange",fraser_health_public_directory
Cloverdale Urgent and Primary Care Centre,cloverdale-upcc,primary_care,upcc,17700 56 Ave,Surrey,BC,,,,604-372-3344,https://www.fraserhealth.ca/locations/cloverdale-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english","wheelchair","Lot parking","Cloverdale Athletic Park area",fraser_health_public_directory
Langley Urgent and Primary Care Centre,langley-upcc,primary_care,upcc,22051 Fraser Hwy,Langley,BC,,,,604-539-1340,https://www.fraserhealth.ca/locations/langley-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english","wheelchair","Lot parking","Near Langley Centre",fraser_health_public_directory
Maple Ridge Urgent and Primary Care Centre,maple-ridge-upcc,primary_care,upcc,11762 Laity St,Maple Ridge,BC,,,,604-476-7100,https://www.fraserhealth.ca/locations/maple-ridge-urgent-and-primary-care-centre,"Open daily, hours vary",,,"urgent_care;primary_care","english","wheelchair","Lot parking","Near Maple Ridge Town Centre",fraser_health_public_directory
Khatsahlano Medical Clinic,khatsahlano-medical,primary_care,walk_in,2689 W Broadway,Vancouver,BC,V6K 2G2,49.2638,-123.1671,604-731-9187,https://khatsahlanoclinic.com/,"Open 7 days, walk-in",,,"walk_in;primary_care","english","wheelchair","Street parking","Broadway / Trafalgar bus",public_listing
Care Point Medical Centre — Davie,carepoint-davie,primary_care,walk_in,1175 Davie St,Vancouver,BC,V6E 1N2,49.2810,-123.1306,604-915-9517,https://carepointmedical.com/,"7 days, walk-in",,,"walk_in;primary_care","english;cantonese;mandarin","wheelchair","Street parking","Davie / Bute bus",care_point_public_site
